zip5	hrrcity	hrrstate	hrr	region
91601	Los Angeles	CA	56	14
91602	Los Angeles	CA	56	14
91603	Los Angeles	CA	56	14
91604	Los Angeles	CA	56	14
91605	Los Angeles	CA	56	14
91606	Los Angeles	CA	56	14
91607	Los Angeles	CA	56	14
91608	Los Angeles	CA	56	14
91609	Los Angeles	CA	56	14
91610	Los Angeles	CA	56	14
91611	Los Angeles	CA	56	14
91612	Los Angeles	CA	56	14
91614	Los Angeles	CA	56	14
91615	Los Angeles	CA	56	14
91616	Los Angeles	CA	56	14
91617	Los Angeles	CA	56	14
91618	Los Angeles	CA	56	14
91701	San Bernardino	CA	79	13
91702	Los Angeles	CA	56	14
91706	Los Angeles	CA	56	14
91708	San Bernardino	CA	79	13
91709	San Bernardino	CA	79	13
91710	San Bernardino	CA	79	13
91711	Los Angeles	CA	56	14
91715	Los Angeles	CA	56	14
91716	Los Angeles	CA	56	14
91722	Los Angeles	CA	56	14
91723	Los Angeles	CA	56	14
91724	Los Angeles	CA	56	14
91729	San Bernardino	CA	79	13
91730	San Bernardino	CA	79	13
91731	Los Angeles	CA	56	14
91732	Los Angeles	CA	56	14
91733	Los Angeles	CA	56	14
91734	Los Angeles	CA	56	14
91735	Los Angeles	CA	56	14
91737	San Bernardino	CA	79	13
91739	San Bernardino	CA	79	13
91740	Los Angeles	CA	56	14
91741	Los Angeles	CA	56	14
91743	San Bernardino	CA	79	13
91744	Los Angeles	CA	56	14
91745	Los Angeles	CA	56	14
91746	Los Angeles	CA	56	14
91747	Los Angeles	CA	56	14
91748	Los Angeles	CA	56	14
91749	Los Angeles	CA	56	14
91750	Los Angeles	CA	56	14
91752	San Bernardino	CA	79	13
91754	Los Angeles	CA	56	14
91755	Los Angeles	CA	56	14
91756	Los Angeles	CA	56	14
91758	San Bernardino	CA	79	13
91759	San Bernardino	CA	79	13
91761	San Bernardino	CA	79	13
91762	San Bernardino	CA	79	13
91763	Los Angeles	CA	56	14
91764	San Bernardino	CA	79	13
91765	Los Angeles	CA	56	14
91766	Los Angeles	CA	56	14
91767	Los Angeles	CA	56	14
91768	Los Angeles	CA	56	14
91769	Los Angeles	CA	56	14
91770	Los Angeles	CA	56	14
91771	Los Angeles	CA	56	14
91772	Los Angeles	CA	56	14
91773	Los Angeles	CA	56	14
91775	Los Angeles	CA	56	14
91776	Los Angeles	CA	56	14
91778	Los Angeles	CA	56	14
91780	Los Angeles	CA	56	14
91784	San Bernardino	CA	79	13
91785	San Bernardino	CA	79	13
91786	San Bernardino	CA	79	13
91788	Los Angeles	CA	56	14
91789	Los Angeles	CA	56	14
91790	Los Angeles	CA	56	14
91791	Los Angeles	CA	56	14
91792	Los Angeles	CA	56	14
91793	Los Angeles	CA	56	14
91795	Los Angeles	CA	56	14
91798	San Bernardino	CA	79	13
91801	Los Angeles	CA	56	14
91802	Los Angeles	CA	56	14
91803	Los Angeles	CA	56	14
91804	Los Angeles	CA	56	14
91896	Los Angeles	CA	56	14
91901	San Diego	CA	80	13
91902	San Diego	CA	80	13
91903	San Diego	CA	80	13
91905	San Diego	CA	80	13
91906	San Diego	CA	80	13
91908	San Diego	CA	80	13
91909	San Diego	CA	80	13
91910	San Diego	CA	80	13
91911	San Diego	CA	80	13
91912	San Diego	CA	80	13
91913	San Diego	CA	80	13
91914	San Diego	CA	80	13
91915	San Diego	CA	80	13
91916	San Diego	CA	80	13
91917	San Diego	CA	80	13
91921	San Diego	CA	80	13
91931	San Diego	CA	80	13
91932	San Diego	CA	80	13
91933	San Diego	CA	80	13
91934	San Diego	CA	80	13
91935	San Diego	CA	80	13
91941	San Diego	CA	80	13
91942	San Diego	CA	80	13
91943	San Diego	CA	80	13
91944	San Diego	CA	80	13
91945	San Diego	CA	80	13
91946	San Diego	CA	80	13
91947	San Diego	CA	80	13
91948	San Diego	CA	80	13
91950	San Diego	CA	80	13
91951	San Diego	CA	80	13
91962	San Diego	CA	80	13
91963	San Diego	CA	80	13
91976	San Diego	CA	80	13
91977	San Diego	CA	80	13
91978	San Diego	CA	80	13
91979	San Diego	CA	80	13
91980	San Diego	CA	80	13
91987	San Diego	CA	80	13
92003	San Diego	CA	80	13
92004	San Diego	CA	80	13
92007	San Diego	CA	80	13
92008	San Diego	CA	80	13
92009	San Diego	CA	80	13
92010	San Diego	CA	80	13
92011	San Diego	CA	80	13
92013	San Diego	CA	80	13
92014	San Diego	CA	80	13
92018	San Diego	CA	80	13
92019	San Diego	CA	80	13
92020	San Diego	CA	80	13
92021	San Diego	CA	80	13
92022	San Diego	CA	80	13
92023	San Diego	CA	80	13
92024	San Diego	CA	80	13
92025	San Diego	CA	80	13
92026	San Diego	CA	80	13
92027	San Diego	CA	80	13
92028	San Diego	CA	80	13
92029	San Diego	CA	80	13
92030	San Diego	CA	80	13
