cty	benchmark
19560	862.69
19570	984.37
19580	1087.99
19590	997.91
19600	1092.88
19610	951.24
19620	921.05
19630	1074.37
20000	716.25
20010	716.25
20020	791.62
20030	716.25
20040	716.25
20050	716.25
20060	716.25
20070	716.25
20080	716.25
20090	716.25
20100	716.25
20110	791.62
20120	716.25
20130	716.25
20140	716.25
20150	791.62
21000	724.86
21010	846.76
21020	829.49
21030	945.4
21040	791.62
21050	730.45
21060	828.67
21070	791.62
21080	915.34
21090	788.33
21100	791.62
21110	753.64
21120	881.11
21130	791.62
21140	753.95
21150	791.62
21160	927.9
21170	791.62
21180	815.71
21190	781.42
21200	723.57
21210	791.62
21220	737.28
21230	752.42
22000	837.01
22010	741.97
22020	791.62
22030	962.63
22040	844.54
22060	866.66
22070	791.62
22080	791.62
22090	874.01
22120	910.16
22130	876.78
22150	869.23
22160	940.8
22170	791.62
23000	716.25
23010	716.25
23020	791.62
23030	734.06
23040	735.45
23050	761.46
23060	728.54
23070	791.62
23080	791.62
23090	716.25
23100	716.25
23110	778.28
23120	791.62
23130	791.62
23140	716.25
23150	716.25
23160	716.25
23170	728.11
23180	791.62
23190	807.41
23200	716.25
23210	716.25
23220	791.62
23230	716.25
23240	799.5
23250	774.18
23260	716.25
23270	716.25
23280	946.5
23290	754.2
23300	716.25
23310	739.89
23320	791.62
23330	791.62
23340	752.82
23350	716.25
23360	720.72
23370	716.25
23380	791.62
23390	716.25
23400	791.62
23410	780.44
23420	716.25
23430	791.62
23440	716.25
23450	791.62
23460	791.62
23470	842.04
23480	778.01
23490	796.89
23500	737.55
23510	738.1
23520	716.25
23530	716.25
23540	716.25
23550	791.62
23560	716.25
23570	791.62
23580	803.9
23590	767.4
23600	791.62
23610	791.62
23620	809.82
23630	716.25
23640	766.7
23650	716.25
23660	716.25
23670	726.52
23680	716.25
23690	791.62
23700	716.25
23710	748.4
23720	791.62
23730	791.62
23740	723.47
23750	729.62
23760	773.56
23770	758.11
23780	751.05
23790	791.62
23800	791.62
23810	825.66
23830	716.25
24000	746.86
24010	791.62
24020	716.25
24030	716.25
24040	716.25
24050	716.25
24060	716.25
24070	716.25
24080	791.62
24090	825.39
24100	716.25
24110	716.25
24120	791.62
24130	716.25
24140	716.25
24150	797.02
24160	716.25
24170	716.25
24180	791.62
24190	753.29
24200	716.25
24210	716.25
24220	716.25
24230	716.25
24240	716.25
24250	716.25
24260	826.2
24270	716.25
24280	716.25
24290	791.62
24300	716.25
24310	716.25
24320	749.89
24330	716.25
24340	716.25
24350	716.25
24360	723.19
24370	847.84
24380	716.25
24390	716.25
24400	716.25
24410	716.25
24420	716.25
24430	716.25
24440	716.25
24450	716.25
24460	716.25
24470	783.36
24480	716.25
24490	716.25
24500	716.25
24510	716.25
24520	716.25
24530	716.25
24540	724.44
24550	716.25
24560	716.25
24570	735.59
24580	716.25
24590	716.25
24600	716.25
24610	791.62
24620	716.25
24630	716.25
24640	716.25
24650	716.25
24660	716.25
24670	716.25
24680	791.62
24690	791.62
24700	791.62
24710	743.67
24720	716.25
24730	716.25
24740	722.89
24750	716.25
24760	716.25
24770	716.25
24780	716.25
24790	716.25
24800	716.25
24810	791.62
24820	716.25
24830	716.25
24840	716.25
24850	791.62
24860	716.25
25000	778.07
25010	739.74
25020	827.8
25030	824
25040	831.02
25050	764.32
25060	716.25
25070	759.55
25080	762.29
25090	735.99
25100	1010.17
25110	780.38
25120	716.25
25130	862.73
25140	791.62
25150	755.13
25160	791.62
25170	758.07
25180	867.42
25190	894.8
25200	794.23
25210	996.19
25220	954.31
25230	893.6
25240	791.62
25250	891.95
25260	927.45
25270	1319.87
25280	716.25
25290	925.15
25300	719.02
25310	826.59
25320	753.94
25330	716.25
25340	716.25
25350	716.25
25360	778.19
25370	730.39
25380	781.24
25390	888.53
25400	716.25
25410	736.29
25420	716.25
25430	716.25
25440	791.62
25450	781.6
25460	876.98
25470	758.33
25480	865.64
25490	842
25500	899.76
25510	716.25
25520	716.25
25530	716.25
25540	921.39
25550	867.25
25560	869.32
25570	716.25
25580	754.95
25590	842.51
25600	791.62
25610	917.45
25620	871.2
25630	843.29
25640	716.25
25650	976.27
25660	773.49
25670	762.1
25680	793.73
25690	753.19
25700	775.49
25710	797.68
25720	722.23
25730	786.42
25740	866.05
25750	767.57
25760	754.87
25770	763.85
25780	956.19
25790	729.99
25800	756.93
25810	855.91
26000	848.84
26010	760.63
26020	716.25
26030	771.76
26040	716.25
26050	726.09
26060	795.1
26070	716.25
26080	726.66
26090	729.73
26100	737.5
26110	716.25
26120	791.62
26130	718.7
26140	744.49
26150	716.25
26160	716.25
26170	716.25
26180	791.62
26190	716.25
26200	716.25
26210	791.62
26220	716.25
26230	834.36
26240	791.62
26250	748.62
26260	716.25
26270	791.62
26280	716.25
26290	791.62
26300	730.57
26310	755.63
26320	716.25
26330	716.25
26340	716.25
26350	791.62
26360	716.25
26370	762.24
26380	791.62
26390	733.58
26400	791.79
26410	716.25
26411	746.07
26412	716.25
26440	716.25
26450	716.25
26460	716.25
26470	815.79
26480	716.25
26490	848.42
26500	716.25
26510	805.49
26520	716.25
26530	791.62
26540	716.25
26541	716.25
26560	791.62
26570	723.66
26580	716.25
26590	791.62
26600	716.25
26601	716.25
26620	781.76
26630	716.25
26631	781.25
26650	779.91
26660	716.25
26670	761.96
26680	722.61
26690	716.25
26700	716.25
26710	716.25
26720	716.25
26730	716.25
26740	716.25
26750	845.07
26751	716.25
26770	767.34
26780	741.04
26790	737.98
26800	716.25
26810	716.25
26820	802.49
26821	791.62
26840	761.18
26850	825.62
26860	716.25
26870	879.07
26880	791.62
26881	750.38
26900	716.25
26910	791.62
26911	763.22
26930	716.25
26940	791.62
26950	863.51
26960	747.77
26970	716.25
26980	926.2
26981	845.87
26982	716.25
26983	716.25
26984	716.25
26985	716.25
26986	716.25
26987	809.34
26988	716.25
26989	716.25
26990	716.25
26991	791.62
26992	791.62
26993	716.25
26994	791.62
26995	716.25
26996	716.25
27000	914.75
27010	716.25
27020	716.25
27030	716.25
27040	716.25
27050	716.25
27060	716.25
27070	716.25
27080	716.25
27090	716.25
27100	716.25
27110	716.25
27120	716.25
27130	716.25
27140	716.25
27150	716.25
27160	716.25
27170	733.8
27180	716.25
27190	716.25
27200	716.25
27210	716.25
27220	716.25
27230	716.25
27240	716.25
27250	725.76
27260	716.25
27270	716.25
27280	716.25
27290	716.25
27300	716.25
27310	716.25
27320	716.25
27330	716.25
27340	716.25
27350	716.25
27360	779.29
27370	716.25
27380	716.25
27390	716.25
27400	716.25
27410	716.25
27420	716.25
27430	716.25
27440	716.25
27450	716.25
27460	716.25
27470	716.25
27480	716.25
27490	717.32
27500	824.85
27510	716.25
27520	716.25
27530	716.25
27540	716.25
27550	716.25
28000	716.25
28010	717.11
28020	716.25
28030	716.25
28040	729.71
28050	716.25
28060	716.25
28070	729.73
28080	716.25
28090	716.25
28100	716.25
28110	716.25
28120	791.62
28130	716.25
28140	716.25
28150	716.25
28160	716.25
28170	716.25
28180	716.25
28190	716.25
28200	716.25
28210	716.25
28220	716.25
28230	716.25
28240	716.25
28250	716.25
28260	716.25
28270	791.62
28280	803.15
28290	716.25
28300	716.25
28310	716.25
28320	716.25
28330	716.25
28340	716.25
28350	716.25
28360	716.25
28370	750.55
28380	716.25
28390	716.25
28400	716.25
28410	741.5
28420	716.25
28430	716.25
28440	716.25
28450	716.25
28460	716.25
28470	716.25
28480	716.25
28490	716.25
28500	716.25
28510	795.19
28520	716.25
28530	716.25
28540	791.62
28550	724.03
28560	805.64
28570	809.9
28580	745.87
28590	716.25
28600	716.25
28610	716.25
28620	716.25
28630	716.25
28640	716.25
28650	716.25
28660	716.25
28670	734.96
28680	716.25
28690	716.25
28700	716.25
28710	716.25
28720	716.25
28730	744.4
28740	716.25
28750	716.25
28760	791.62
28770	791.62
28780	716.25
28790	791.62
28800	716.25
28810	716.25
28820	724.56
28830	716.25
28840	716.25
28850	716.25
28860	744.52
28870	716.25
28880	791.62
28890	716.25
28900	716.25
28910	884.02
28920	716.25
29000	875.75
29010	841.18
29020	730.69
29030	716.25
29040	793.33
29050	871.73
29060	717.73
29070	766.46
29080	797.77
29090	716.25
29100	834.62
29110	827.42
29120	736.56
29130	824.52
29140	791.62
29150	791.62
29160	781.98
30000	716.25
30010	716.25
30020	716.25
30030	741.95
30040	716.25
30050	791.62
30060	791.62
30070	791.62
30080	791.62
30090	716.25
31000	791.62
31100	842.07
31150	791.62
31160	861.49
31180	816.64
31190	791.62
31200	926.03
31220	834.67
31230	903.63
31250	791.62
31260	836.36
31270	843.11
31290	816.17
31300	791.62
31310	901.35
31320	828.33
31340	791.62
31350	791.62
31360	791.62
31370	834.61
31390	879.89
32000	791.62
32010	716.25
32020	716.25
32025	791.62
32030	716.25
32040	718.58
