PRVDRNUM	PRWI	TCHOP	DSHOPG	COLACP	GAF	TCHCP	DSHCPG	COLA	URSPA	OPCCR	CPCCR
360062	0.9884	0.01319	0.23718	1	0.992	0.01301	0.08838	1	LURBAN	0.319	0.015
360064	0.8904	0.07018	0.05316	1	0.9236	0.02518	0.03993	1	OURBAN	0.269	0.024
360065	0.9248	0	0.07327	1	0.9479	0	0	1	RURAL	0.514	0.037
360066	0.9272	0.0012	0.0562	1	0.9496	0.00054	0.04091	1	OURBAN	0.356	0.027
360068	0.9243	0.04002	0.13608	1	0.9475	0.01582	0.0617	1	OURBAN	0.269	0.015
360070	0.8824	0.03819	0.07334	1	0.9179	0.01632	0.04548	1	OURBAN	0.473	0.039
360071	0.8605	0	0.03364	1	0.9022	0	0	1	RURAL	0.728	0.031
360072	0.9884	0	0.04614	1	0.992	0	0.03765	1	LURBAN	0.457	0.035
360074	0.9243	0.04831	0	1	0.9475	0.01964	0.02486	1	OURBAN	0.25	0.015
360075	0.9248	0.31758	0.04243	1	0.9479	0.15386	0	1	LURBAN	0.398	0.026
360076	0.956	0	0.03913	1	0.9697	0	0.03539	1	LURBAN	0.309	0.027
360077	0.9248	0.09503	0.05374	1	0.9479	0.03755	0.04011	1	LURBAN	0.248	0.023
360078	0.9248	0.00567	0.03303	1	0.9479	0.00201	0.03342	1	OURBAN	0.34	0.028
360079	0.9295	0.08118	0	1	0.9512	0.03266	0.01568	1	OURBAN	0.333	0.022
360080	0.857	0	0.06016	1	0.8997	0	0	1	OURBAN	0.301	0.019
360081	0.9243	0.05266	0.08994	1	0.9475	0.02149	0.04975	1	OURBAN	0.259	0.026
360082	0.9248	0	0.02784	1	0.9479	0	0.03175	1	LURBAN	0.313	0.038
360084	0.8824	0.0611	0.04627	1	0.9179	0.02277	0.03769	1	OURBAN	0.517	0.017
360085	0.9884	0.1899	0.1944	1	0.992	0.06911	0.07701	1	LURBAN	0.263	0.019
360086	0.9295	0	0.02606	1	0.9512	0	0.03118	1	OURBAN	0.413	0.038
360087	0.9248	0.00016	0.21414	1	0.9479	0.00008	0.08224	1	LURBAN	0.287	0.012
360089	0.857	0	0	1	0.8997	0	0	1	RURAL	0.514	0.045
360090	0.9243	0.01227	0	1	0.9475	0.00532	0.0151	1	OURBAN	0.423	0.039
360091	0.9248	0	0	1	0.9479	0	0.01974	1	LURBAN	0.424	0.028
360092	0.9884	0	0.07042	1	0.992	0	0	1	LURBAN	0.526	0.035
360095	0.9243	0	0	1	0.9475	0	0	1	RURAL	0.607	0.041
360096	0.8574	0	0.13598	1	0.9	0	0.06168	1	OURBAN	0.553	0.033
360098	0.9248	0	0	1	0.9479	0	0.02347	1	LURBAN	0.325	0.032
360100	0.8824	0	0	1	0.9179	0	0	1	OURBAN	0.484	0.048
360101	0.9248	0.17369	0.31714	1	0.9479	0.07109	0.10995	1	LURBAN	0.318	0.017
360107	0.9243	0	0.04211	1	0.9475	0	0	1	RURAL	0.608	0.088
360109	0.857	0	0.09078	1	0.8997	0	0	1	RURAL	0.56	0.039
360112	0.9243	0.18253	0.17118	1	0.9475	0.0885	0.07089	1	OURBAN	0.242	0.029
360113	0.956	0	0	1	0.9697	0	0.01981	1	LURBAN	0.358	0.028
360115	0.9248	0.00011	0	1	0.9479	0.00007	0.01871	1	LURBAN	0.359	0.028
360116	0.956	0	0.12	1	0.9697	0	0	1	LURBAN	0.469	0.035
360118	0.9267	0	0.04583	1	0.9492	0	0.03755	1	OURBAN	0.53	0.036
360121	0.9243	0	0	1	0.9475	0	0	1	RURAL	0.844	0.037
360123	0.9248	0.10218	0	1	0.9479	0.04029	0.02364	1	LURBAN	0.329	0.028
360125	0.857	0	0.08322	1	0.8997	0	0	1	RURAL	0.39	0.028
360130	0.9248	0	0	1	0.9479	0	0	1	LURBAN	0.615	0.037
360131	0.8824	0.01819	0.06039	1	0.9179	0.00963	0.04216	1	OURBAN	0.633	0.057
360132	0.956	0	0.11102	1	0.9697	0	0.05519	1	LURBAN	0.283	0.026
360133	0.9295	0.19386	0.09518	1	0.9512	0.09982	0.0511	1	OURBAN	0.354	0.038
360134	0.956	0.08354	0.1606	1	0.9697	0.03344	0.06811	1	LURBAN	0.272	0.019
360137	0.9248	0.34897	0.15966	1	0.9479	0.16325	0.06787	1	LURBAN	0.357	0.04
360141	0.8904	0.13456	0.07961	1	0.9236	0.06609	0.04709	1	OURBAN	0.259	0.018
360143	0.9248	0	0	1	0.9479	0	0.02496	1	LURBAN	0.208	0.013
360144	0.9248	0.10928	0.03862	1	0.9479	0.04934	0.03522	1	LURBAN	0.271	0.018
