hrr	region	zip5
311	5	28229
312	5	27544
313	5	27415
314	5	28546
315	5	28633
318	5	27616
319	5	28337
320	5	27022
321	10	58460
322	10	58402
323	10	58345
324	10	58346
325	6	44250
326	6	44638
327	6	45221
328	6	44024
329	6	45699
330	6	45875
331	6	44053
332	6	45458
334	6	48117
335	6	44401
336	11	73548
339	11	73858
340	11	74839
341	13	97904
342	13	97436
343	13	96015
344	13	97148
345	13	97371
346	4	18234
347	4	16652
350	4	17815
351	4	16049
352	4	17016
354	4	15928
355	4	17601
356	4	08825
357	4	43938
358	4	19457
359	4	13840
360	4	12726
362	4	18773
363	4	17364
364	1	02916
365	5	29461
366	5	29628
367	5	29565
368	5	29636
369	5	29341
370	10	57756
371	10	56220
373	9	37367
374	9	38334
375	9	37602
376	9	37669
377	9	37811
379	9	38147
380	9	37208
382	11	76844
383	11	79159
385	11	78786
386	11	77519
388	11	75852
390	11	78342
391	11	75233
393	11	79923
394	11	76427
396	11	78594
397	11	77387
399	11	75691
400	11	79359
402	11	78536
406	11	79782
411	11	76905
412	11	78671
413	11	78615
416	11	75682
417	11	77903
418	11	75838
420	11	79529
421	12	84403
422	12	84642
423	12	84074
424	1	05462
426	5	22081
427	5	23084
428	5	24570
429	5	23180
430	5	27919
431	5	22577
432	5	24751
435	5	22663
437	13	98255
438	13	98532
439	13	98324
440	13	99220
441	13	98352
442	13	98937
443	5	25211
444	5	25723
445	5	15351
446	7	54912
447	7	54302
448	7	52133
449	7	53589
450	7	54835
451	7	53059
452	7	54947
456	7	54562
457	12	82730
1	9	35186
1	9	36087
1	9	36749
1	9	35572
1	9	35185
1	9	35176
1	9	36854
1	9	36793
1	9	35212
1	9	35640
1	9	36267
1	9	35077
1	9	36785
1	9	35956
1	9	35209
1	9	35112
1	9	35126
1	9	35222
1	9	35080
1	9	35120
1	9	35014
1	9	36832
1	9	35015
1	9	35554
1	9	35291
1	9	35975
1	9	35021
1	9	36256
1	9	35279
1	9	35203
1	9	31833
1	9	35594
1	9	35118
1	9	36775
1	9	36759
1	9	35124
1	9	35990
1	9	35296
1	9	35964
1	9	35038
1	9	36792
1	9	35972
1	9	35032
1	9	35661
1	9	35223
1	9	35074
1	9	35253
1	9	36280
1	9	36210
1	9	35057
1	9	35235
1	9	36272
1	9	35249
1	9	35096
1	9	35287
1	9	36756
1	9	35266
1	9	35040
1	9	35541
1	9	35584
1	9	35292
1	9	35905
1	9	36268
1	9	35989
1	9	35501
1	9	36879
1	9	35007
1	9	35043
1	9	36790
1	9	35202
1	9	35280
1	9	35286
1	9	35246
1	9	35585
1	9	36732
1	9	36866
1	9	35953
1	9	35660
1	9	35245
1	9	36863
1	9	35553
1	9	35288
1	9	35187
1	9	35063
1	9	36801
1	9	35072
1	9	35137
1	9	36748
1	9	36754
1	9	35278
1	9	35580
1	9	38463
1	9	35128
1	9	35980
1	9	36260
1	9	35033
1	9	35551
1	9	35060
1	9	35577
1	9	36745
1	9	36849
1	9	35214
1	9	35243
1	9	35228
1	9	35650
1	9	35550
1	9	35142
1	9	35218
1	9	35987
1	9	36865
1	9	36861
1	9	36831
1	9	36804
1	9	36741
1	9	36728
1	9	36271
1	9	36251
1	9	35259
1	9	36201
1	9	35049
1	9	36083
1	9	35986
1	9	35260
1	9	35962
1	9	35954
1	9	35673
1	9	35662
1	9	35652
1	9	35646
1	9	35645
1	9	35564
1	9	35563
1	9	35544
1	9	35540
1	9	35502
1	9	35478
1	9	35295
1	9	35293
1	9	35290
1	9	35289
1	9	35240
1	9	36279
1	9	35229
1	9	35221
1	9	35219
1	9	35217
1	9	35215
1	9	35211
1	9	35208
1	9	35204
1	9	35172
1	9	35031
1	9	35144
1	9	35136
1	9	35135
1	9	35131
1	9	35094
1	9	35085
1	9	35071
1	9	35052
1	9	35019
1	9	35468
1	9	35181
1	9	36874
1	9	35184
1	9	36720
1	9	35022
1	9	36773
1	9	36862
1	9	35125
1	9	35183
1	9	35283
1	9	36802
1	9	36274
1	9	36723
1	9	35231
1	9	35961
1	9	35261
1	9	36255
1	9	35116
1	9	38471
1	9	36276
1	9	36203
1	9	36207
1	9	35548
1	9	36703
1	9	36763
1	9	35633
1	9	35046
1	9	35277
1	9	35150
1	9	35974
1	9	35573
1	9	35285
1	9	35139
1	9	35984
1	9	35160
1	9	36783
1	9	36702
1	9	36852
1	9	35282
1	9	35632
1	9	35578
1	9	35058
1	9	35610
1	9	35677
1	9	35902
1	9	36853
1	9	35041
1	9	38452
1	9	36265
1	9	35952
1	9	35045
1	9	35631
1	9	36261
1	9	36872
1	9	35173
1	9	35079
1	9	35147
1	9	35616
1	9	35648
1	9	35634
1	9	35951
1	9	36257
1	9	35070
1	9	35055
1	9	35904
1	9	36766
1	9	35957
1	9	36266
1	9	35581
1	9	35220
1	9	35115
1	9	36254
1	9	35004
1	9	36204
1	9	35234
1	9	35005
1	9	36278
1	9	35151
1	9	35238
1	9	35011
1	9	35205
1	9	36767
1	9	35579
1	9	35206
1	9	35504
1	9	35226
1	9	35179
1	9	35091
1	9	35582
1	9	36006
1	9	36850
1	9	35230
1	9	36750
1	9	35178
1	9	35651
1	9	35225
1	9	35593
1	9	35242
1	9	35440
1	9	35210
1	9	36262
1	9	36758
1	9	35161
1	9	35236
1	9	35143
1	9	35903
1	9	35087
1	9	35089
1	9	35653
1	9	35254
1	9	35906
1	9	36786
1	9	36088
1	9	35182
1	9	35560
1	9	35297
1	9	36803
1	9	35617
1	9	35048
1	9	35216
1	9	36738
1	9	35073
1	9	35188
1	9	35907
1	9	36701
1	9	35654
1	9	38481
1	9	35062
1	9	35117
1	9	35180
1	9	35643
1	9	35149
1	9	35068
1	9	35036
1	9	36202
1	9	35020
1	9	35543
1	9	35054
1	9	35127
1	9	35119
1	9	36753
1	9	35549
1	9	36740
1	9	35056
1	9	35299
1	9	35575
1	9	36264
1	9	35207
1	9	35213
1	9	35559
1	9	35053
1	9	35630
1	9	35051
1	9	35098
1	9	35097
1	9	35988
1	9	35232
1	9	35587
1	9	35035
1	9	35298
1	9	35674
1	9	35621
1	9	35061
1	9	36258
1	9	35121
1	9	38852
1	9	35255
1	9	35963
1	9	35044
1	9	35503
1	9	35201
1	9	35967
1	9	36830
1	9	35078
1	9	36768
1	9	36277
1	9	36742
1	9	36761
1	9	35244
1	9	35123
1	9	36205
1	9	36253
1	9	36206
1	9	35023
1	9	35968
1	9	35114
1	9	35083
1	9	35146
1	9	35224
1	9	35971
1	9	35281
1	9	35006
1	9	35619
1	9	35294
1	9	35233
1	9	35565
1	9	35622
1	9	38873
1	9	35978
1	9	36250
1	9	35672
1	9	38833
1	9	35133
1	9	35010
1	9	35082
1	9	35148
1	9	35111
1	9	35171
1	9	35901
1	9	35013
1	9	35130
1	9	36726
1	9	36435
1	9	35064
2	9	32460
2	9	36345
2	9	36318
2	9	36346
2	9	39851
2	9	32445
2	9	36376
2	9	36330
2	9	36034
2	9	32423
2	9	36312
2	9	36319
2	9	36344
2	9	36303
2	9	32443
2	9	36017
2	9	39845
2	9	36311
2	9	36331
2	9	36350
2	9	32425
2	9	39859
2	9	36313
2	9	36304
2	9	32464
2	9	32420
2	9	39823
2	9	32431
2	9	36053
2	9	36352
2	9	36362
2	9	32446
2	9	36317
2	9	36027
2	9	36374
2	9	32440
2	9	39861
2	9	36453
2	9	36072
2	9	36375
2	9	36361
2	9	32432
2	9	36373
2	9	36048
2	9	32452
2	9	36360
2	9	36349
2	9	36477
2	9	36316
2	9	39867
2	9	36371
2	9	39824
2	9	32447
2	9	36353
2	9	36340
2	9	36310
2	9	32448
